iter	MultiClass
0	0.9563569749
1	0.7331268451
2	0.5987774862
3	0.5088901749
4	0.4438168852
5	0.3960913655
6	0.3583257311
7	0.3274686978
8	0.3051115488
9	0.2869450297
10	0.2697245568
11	0.2569133087
12	0.2465732899
13	0.237559783
14	0.2291236548
15	0.2224359338
16	0.2169324847
17	0.2128081306
18	0.2088841275
19	0.2046596663
20	0.2008558112
21	0.1973138559
22	0.1945140409
23	0.1918357217
24	0.1893702546
25	0.1873395942
26	0.1859266484
27	0.1835513852
28	0.1813285387
29	0.1794772507
30	0.1778993283
31	0.1765410165
32	0.1751269378
33	0.1736743397
34	0.1717216164
35	0.1702872232
36	0.1688457395
37	0.1673920086
38	0.1663804678
39	0.1650547958
40	0.1640891969
41	0.1630442252
42	0.1616408408
43	0.160359675
44	0.1593630379
45	0.1584196384
46	0.1575460305
47	0.1562777175
48	0.1552660107
49	0.1547224633
50	0.1532903164
51	0.1525432439
52	0.1518032327
53	0.1510403286
54	0.1501426756
55	0.1494667622
56	0.1488412051
57	0.1480452315
58	0.1472337292
59	0.1465430683
60	0.1458668326
61	0.1452866899
62	0.1447170756
63	0.1443677165
64	0.1437393369
65	0.1429105868
66	0.1423187731
67	0.1415379475
68	0.1410433207
69	0.1401694687
70	0.1396611297
71	0.1391454072
72	0.1388072796
73	0.1383040485
74	0.1378103008
75	0.1372886695
76	0.1366680055
77	0.1361287847
78	0.1357135404
79	0.1352631561
80	0.1347308402
81	0.1342891286
82	0.1338709739
83	0.1335838081
84	0.1331677435
85	0.1327705576
86	0.1324009524
87	0.1319538106
88	0.1315381854
89	0.1311825073
90	0.1305249843
91	0.1301510916
92	0.1297131499
93	0.1294419622
94	0.1290157305
95	0.1287499144
96	0.128358149
97	0.1279552203
98	0.1276676834
99	0.1273352497
100	0.1269333368
101	0.1265504491
102	0.1261436236
103	0.1257567902
104	0.1253586178
105	0.1248642352
106	0.1244510615
107	0.1241025423
108	0.1237879423
109	0.1235016945
110	0.1232134447
111	0.1228230465
112	0.1226176951
113	0.1224284292
114	0.1222399837
115	0.1220161832
116	0.1217054313
117	0.1213329449
118	0.1210862127
119	0.1208096924
120	0.1205435931
121	0.1202854828
122	0.1200291403
123	0.1198253027
124	0.1196144917
125	0.1192972841
126	0.1190359606
127	0.1187483358
128	0.1185527704
129	0.1183731344
130	0.1181970338
131	0.118006547
132	0.1177603031
133	0.1175711544
134	0.1173098895
135	0.117128681
136	0.1168381262
137	0.1166328432
138	0.1164110644
139	0.1161097958
140	0.1158952833
141	0.1157064569
142	0.1153605747
143	0.1151515706
144	0.1150267736
145	0.1148159529
146	0.1145899551
147	0.1144230448
148	0.1142572479
149	0.1140480973
150	0.1138668106
151	0.1136785995
152	0.1134830928
153	0.1132674572
154	0.1130857994
155	0.1129508843
156	0.112773016
157	0.1125022776
158	0.1123457003
159	0.1122151118
160	0.1120391772
161	0.1119248598
162	0.1117678137
163	0.1116384167
164	0.1114832165
165	0.1112513099
166	0.1111112283
167	0.1109691055
168	0.1108468381
169	0.1106740874
170	0.1105415359
171	0.1103527681
172	0.1102031055
173	0.1100860827
174	0.109901954
175	0.109740093
176	0.1096059202
177	0.1094746188
178	0.1093176508
179	0.1091600676
180	0.1089951204
181	0.1089009904
182	0.1086563775
183	0.108535956
184	0.1083416408
185	0.1082072238
186	0.1080337406
187	0.1078903091
188	0.1077593104
189	0.107611484
190	0.1075026846
191	0.1073588039
192	0.107263541
193	0.1071372693
194	0.107037631
195	0.106960905
196	0.1068465583
197	0.106750055
198	0.1066445958
199	0.1065417834
200	0.1063479565
201	0.106207162
202	0.1061193803
203	0.1059875026
204	0.1058412876
205	0.105661632
206	0.1055814975
207	0.1054999663
208	0.1053852778
209	0.1052683527
210	0.105154797
211	0.1050310061
212	0.1049409194
213	0.1048831796
214	0.104816269
215	0.1046696438
216	0.1045453157
217	0.1044591845
218	0.1043692834
219	0.1042796558
220	0.1041707979
221	0.1040382756
222	0.1039437941
223	0.1038447222
224	0.1037911527
225	0.1037013786
226	0.1036424766
227	0.1035758883
228	0.1034969062
229	0.1034240966
230	0.1033515409
231	0.1032284043
232	0.1031402319
233	0.1030497156
234	0.1029666608
235	0.1028610942
236	0.1027842803
237	0.1027084822
238	0.1026327328
239	0.1025137079
240	0.1024385055
241	0.1023785096
242	0.1022871631
243	0.1022108669
244	0.1021308202
245	0.1020415638
246	0.1018940889
247	0.1018381168
248	0.1017711086
249	0.1017034752
250	0.1016443681
251	0.1015344944
252	0.1014792939
253	0.1013941492
254	0.1013219158
255	0.1012157241
256	0.1011482861
257	0.10102471
258	0.1009484528
259	0.1008803604
260	0.1008136354
261	0.1007080395
262	0.1006578785
263	0.100604143
264	0.1005257273
265	0.1004702924
266	0.1004335116
267	0.1003678218
268	0.1002998271
269	0.1002452224
270	0.1001696586
271	0.1000517471
272	0.09999740601
273	0.09993376719
274	0.09987245281
275	0.09978351863
276	0.09972697033
277	0.09961555356
278	0.09957253192
279	0.09948711371
280	0.09943821261
281	0.09939480031
282	0.09931001691
283	0.09926212177
284	0.09916567712
285	0.09910103235
286	0.09900964677
287	0.09893801892
288	0.09887804255
289	0.09879013387
290	0.09872843859
291	0.09867383383
292	0.09859724457
293	0.09854152642
294	0.09847844429
295	0.09842692576
296	0.09836597274
297	0.09830938537
298	0.09826709622
299	0.09821001076
300	0.09815277879
301	0.09811290198
302	0.09807081793
303	0.09801280465
304	0.09792316728
305	0.09786893365
306	0.09781431912
307	0.09777031106
308	0.0976964662
309	0.09766847527
310	0.0976096123
311	0.09755485127
312	0.09750863597
313	0.09745217556
314	0.09740197551
315	0.09735446126
316	0.09732739816
317	0.09725748922
318	0.09720548236
319	0.09715989212
320	0.09710944791
321	0.09705908183
322	0.09699001281
323	0.09693572057
324	0.09687547075
325	0.0968250656
326	0.09674854471
327	0.09669171317
328	0.0966268633
329	0.09654521497
330	0.09651342486
331	0.09645768718
332	0.09639762292
333	0.0963094896
334	0.09626252228
335	0.09616617529
336	0.0961218254
337	0.0960728657
338	0.09601973569
339	0.09597019
340	0.09592767622
341	0.09588736968
342	0.09583295048
343	0.09579155986
344	0.09574944651
345	0.09570862234
346	0.09566145969
347	0.09562708145
348	0.09558859149
349	0.09549890529
350	0.09546438054
351	0.09540827173
352	0.09537181321
353	0.0953433828
354	0.09529329995
355	0.09525364777
356	0.09521027453
357	0.09512517861
358	0.09507442187
359	0.09503580494
360	0.09496773211
361	0.09491908494
362	0.09488131771
363	0.0948191341
364	0.09476504697
365	0.09472113657
366	0.09468590864
367	0.09464041606
368	0.09460238513
369	0.09456802642
370	0.09451650789
371	0.09447911178
372	0.09444702867
373	0.0944039582
374	0.09435996968
375	0.09434027055
376	0.09430184896
377	0.094263359
378	0.0942300453
379	0.0941811735
380	0.09413864996
381	0.09408824481
382	0.09404685419
383	0.09398698526
384	0.09396516679
385	0.09392425473
386	0.09390328595
387	0.09386442486
388	0.09382176459
389	0.09378197567
390	0.09374369081
391	0.09370254435
392	0.09365870232
393	0.09360986959
394	0.09358215213
395	0.09353477461
396	0.09347982802
397	0.0934327728
398	0.09340046506
399	0.09334674905
400	0.09331588676
401	0.09325890873
402	0.09321198047
403	0.09316827518
404	0.09311949128
405	0.09309450845
406	0.09304038225
407	0.09301607331
408	0.09298251546
409	0.09294335161
410	0.09288213489
411	0.09284615493
412	0.09280226407
413	0.09276994657
414	0.09271744161
415	0.09268213555
416	0.09264357722
417	0.09260634715
418	0.09257888362
419	0.09255888173
420	0.09250924814
421	0.09247641301
422	0.09242556837
423	0.09237938237
424	0.09231475713
425	0.09227426502
426	0.09225241726
427	0.09221120243
428	0.09217734181
429	0.09214165485
430	0.09210922015
431	0.09206822019
432	0.09202816758
433	0.0919992293
434	0.09197994037
435	0.09194378462
436	0.0919126684
437	0.09188745118
438	0.09185552433
439	0.09184057175
440	0.09180316588
441	0.09177060421
442	0.09174802395
443	0.09173176265
444	0.0917063208
445	0.09165784943
446	0.09162663554
447	0.09160377206
448	0.09158285212
449	0.09155454866
450	0.09152246556
451	0.09149592985
452	0.0914541681
453	0.09142525912
454	0.09140634132
455	0.09139092971
456	0.0913482206
457	0.09132870704
458	0.09130844145
459	0.09128242337
460	0.09125475475
461	0.09122470308
462	0.09119558901
463	0.09115738227
464	0.09115123912
465	0.09112083586
466	0.09108818629
467	0.09107273561
468	0.09104102364
469	0.09101635334
470	0.09099256203
471	0.09095942414
472	0.09092706757
473	0.09087251164
474	0.09083038852
475	0.09080577683
476	0.09077240454
477	0.09075102557
478	0.09072556418
479	0.09070327692
480	0.09067184817
481	0.09064764667
482	0.09061712621
483	0.09057856788
484	0.09055889806
485	0.09052389476
486	0.09049772041
487	0.09047875378
488	0.09046134979
489	0.09042683481
490	0.09040220358
491	0.09037842204
492	0.09035660358
493	0.09033788111
494	0.09032091661
495	0.09029352145
496	0.09025821538
497	0.09022710893
498	0.09019876641
499	0.09016869522
500	0.09014809757
501	0.09012592751
502	0.09011362166
503	0.09009279938
504	0.09006107764
505	0.09004398618
506	0.09001624919
507	0.0899748488
508	0.0899394646
509	0.08992226571
510	0.08989703872
511	0.089860756
512	0.08984042205
513	0.08980914957
514	0.08979076893
515	0.08977359934
516	0.08975565819
517	0.08971293931
518	0.08968562228
519	0.08966367685
520	0.08964833361
521	0.08962158304
522	0.08959995014
523	0.08957482081
524	0.08953028536
525	0.08949162937
526	0.08946597265
527	0.08944714275
528	0.08943129164
529	0.08940301749
530	0.08937086602
531	0.0893505223
532	0.08933707376
533	0.08932539297
534	0.08930594778
535	0.08928047663
536	0.08925614816
537	0.08924189877
538	0.08922379159
539	0.08919910176
540	0.08917211679
541	0.08912946628
542	0.08911925047
543	0.08909654325
544	0.08907765475
545	0.08905241799
546	0.08903438895
547	0.08900752118
548	0.08898198166
549	0.08895726253
550	0.08893772944
551	0.08892992596
552	0.08891862607
553	0.08889640718
554	0.08887696198
555	0.08884975238
556	0.08883440914
557	0.08881948585
558	0.08877752877
559	0.08875423556
560	0.08872776821
561	0.08870824489
562	0.08868876063
563	0.08867948241
564	0.08866937403
565	0.08865255604
566	0.08863434143
567	0.08859623236
568	0.08858240293
569	0.08854719453
570	0.08851344135
571	0.08849700425
572	0.0884628311
573	0.08844970486
574	0.08843370726
575	0.08840960342
576	0.088392092
577	0.08837994242
578	0.08836211847
579	0.08834304441
580	0.0883221147
581	0.08831307087
582	0.08829383078
583	0.08826964881
584	0.08824622863
585	0.08823080725
586	0.08820038446
587	0.08815953099
588	0.08814830923
589	0.08813039738
590	0.08810025782
591	0.08807916208
592	0.08805719712
593	0.08803534935
594	0.08801192917
595	0.08799128269
596	0.08795484371
597	0.08793585754
598	0.08792897212
599	0.08791786756
600	0.08790235829
601	0.087887728
602	0.08788103791
603	0.08787562725
604	0.08784904271
605	0.08782563229
606	0.08781084574
607	0.08779227954
608	0.08778090151
609	0.08775917094
610	0.08773929602
611	0.08771681343
612	0.08770597256
613	0.08768626367
614	0.08767211195
615	0.08764253884
616	0.08762910984
617	0.08760038643
618	0.08758187882
619	0.08756864515
620	0.08755050867
621	0.0875321378
622	0.08749207542
623	0.08747884175
624	0.08745809761
625	0.08743626938
626	0.08741385515
627	0.0873962363
628	0.08738290496
629	0.08736450479
630	0.08734760866
631	0.08732625899
632	0.08730298531
633	0.0872961585
634	0.08728646032
635	0.0872656771
636	0.08724840008
637	0.08723129886
638	0.08722393488
639	0.08720085653
640	0.087184898
641	0.08716219078
642	0.08714789255
643	0.08713625083
644	0.08711840735
645	0.0870895765
646	0.08705650697
647	0.08703706178
648	0.08702241196
649	0.08698972333
650	0.08697133292
651	0.08695589201
652	0.08694491441
653	0.08693600732
654	0.08691739228
655	0.0868994902
656	0.08688177369
657	0.08686447713
658	0.08685938876
659	0.08685546261
660	0.08683511889
661	0.08681762701
662	0.08679253675
663	0.0867694584
664	0.08675768971
665	0.08675097033
666	0.08672325287
667	0.08670779242
668	0.08668625719
669	0.08667776029
670	0.08665800257
671	0.08664933964
672	0.08664204403
673	0.0866306367
674	0.08661783276
675	0.08660901357
676	0.08659698118
677	0.08658879682
678	0.08657788759
679	0.08656604076
680	0.08655398885
681	0.08654722063
682	0.08651627044
683	0.08649568256
684	0.08648488076
685	0.08647242841
686	0.08645612805
687	0.08644315807
688	0.08643056899
689	0.0864082622
690	0.08638971553
691	0.08636377558
692	0.08634642043
693	0.08633017866
694	0.08630519583
695	0.08628457865
696	0.08626788763
697	0.08626297505
698	0.0862588438
699	0.08623454464
700	0.08622176999
701	0.08620455157
702	0.08619339817
703	0.08618205921
704	0.08616360044
705	0.08614883342
706	0.08613319718
707	0.08611553926
708	0.08610852688
709	0.08609166982
710	0.08607798689
711	0.08606564198
712	0.08606034851
713	0.08604438997
714	0.08603101957
715	0.08601003126
716	0.08599870207
717	0.08598947268
718	0.08596933406
719	0.08595314112
720	0.08593296344
721	0.08591613568
722	0.08590376146
723	0.08588801779
724	0.08587264525
725	0.08585804426
726	0.0858330712
727	0.08581442686
728	0.08580380086
729	0.08579421011
730	0.08578098621
731	0.08577051647
732	0.08575318085
733	0.08574671539
734	0.08573399935
735	0.08572424257
736	0.08570874306
737	0.08570031453
738	0.08568753012
739	0.08567885743
740	0.08567475548
741	0.08566071118
742	0.08565141343
743	0.08564377599
744	0.08563390201
745	0.0856270166
746	0.0856158046
747	0.08560960284
748	0.08560041252
749	0.08558633893
750	0.08557921912
751	0.08556376844
752	0.08555196069
753	0.08553636351
754	0.08551799264
755	0.08550144811
756	0.08547215823
757	0.08545444172
758	0.08544134478
759	0.0854289022
760	0.08541319759
761	0.08539435792
762	0.08538326312
