iter	Passed	Remaining
0	51	51013
1	100	50093
2	149	49647
3	202	50332
4	253	50443
5	304	50513
6	352	50018
7	400	49709
8	451	49664
9	496	49201
10	546	49174
11	598	49265
12	645	48993
13	694	48888
14	759	49903
15	825	50772
16	882	51018
17	942	51392
18	997	51494
19	1047	51308
20	1096	51138
21	1143	50851
22	1193	50678
23	1244	50611
24	1289	50299
25	1335	50018
26	1382	49838
27	1433	49757
28	1480	49562
29	1528	49428
30	1574	49203
31	1623	49111
32	1671	48985
33	1718	48828
34	1766	48713
35	1816	48648
36	1870	48685
37	1926	48770
38	1972	48600
39	2022	48543
40	2078	48623
41	2135	48709
42	2187	48687
43	2238	48643
44	2287	48555
45	2333	48403
46	2381	48294
47	2431	48233
48	2480	48145
49	2528	48047
50	2579	48002
51	2623	47829
52	2669	47698
53	2717	47614
54	2771	47613
55	2817	47493
56	2861	47343
57	2918	47401
58	2984	47598
59	3043	47688
60	3102	47762
61	3150	47659
62	3199	47580
63	3243	47433
64	3299	47455
65	3348	47391
66	3393	47250
67	3449	47272
68	3498	47199
69	3546	47122
70	3596	47053
71	3641	46929
72	3690	46868
73	3739	46797
74	3785	46682
75	3846	46766
76	3905	46813
77	3960	46820
78	4015	46809
79	4061	46705
80	4105	46581
81	4156	46538
82	4207	46489
83	4257	46426
84	4305	46348
85	4353	46271
86	4400	46184
87	4450	46119
88	4503	46100
89	4549	46000
90	4594	45890
91	4637	45774
92	4692	45761
93	4739	45679
94	4785	45590
95	4837	45548
96	4886	45489
97	4944	45513
98	5009	45593
99	5069	45622
100	5130	45664
101	5178	45586
102	5223	45488
103	5273	45434
104	5325	45393
105	5374	45331
106	5424	45267
107	5467	45158
108	5511	45056
109	5558	44974
110	5608	44921
111	5661	44890
112	5707	44801
113	5757	44745
114	5803	44662
115	5853	44608
116	5901	44542
117	5950	44474
118	5997	44402
119	6052	44382
120	6113	44411
121	6174	44433
122	6234	44452
123	6291	44448
124	6338	44369
125	6383	44280
126	6432	44218
127	6482	44161
128	6531	44099
129	6579	44031
130	6628	43972
131	6678	43914
132	6723	43832
133	6771	43759
134	6819	43695
135	6870	43646
136	6922	43605
137	6969	43536
138	7017	43465
139	7067	43414
140	7115	43348
141	7163	43281
142	7217	43255
143	7267	43200
144	7314	43130
145	7368	43098
146	7415	43032
147	7463	42964
148	7512	42909
149	7566	42878
150	7611	42797
151	7676	42827
152	7736	42830
153	7793	42814
154	7855	42825
155	7913	42811
156	7962	42754
157	8009	42682
158	8058	42621
159	8109	42576
160	8163	42541
161	8211	42479
162	8257	42400
163	8304	42331
164	8353	42271
165	8402	42213
166	8450	42152
167	8501	42104
168	8554	42063
169	8597	41974
170	8649	41933
171	8698	41875
172	8752	41841
173	8799	41773
174	8846	41704
175	8893	41637
176	8950	41619
177	9009	41606
178	9063	41571
179	9121	41553
180	9168	41486
181	9219	41438
182	9269	41385
183	9318	41326
184	9363	41251
185	9410	41185
186	9458	41122
187	9506	41058
188	9557	41011
189	9606	40954
190	9656	40900
191	9701	40826
192	9749	40766
193	9795	40694
194	9842	40632
195	9888	40563
196	9937	40504
197	9998	40500
198	10066	40517
199	10125	40501
200	10169	40423
201	10217	40365
202	10264	40300
203	10320	40268
204	10369	40212
205	10422	40170
206	10469	40107
207	10518	40052
208	10566	39991
209	10613	39928
210	10664	39877
211	10719	39843
212	10773	39807
213	10821	39747
214	10870	39689
215	10914	39613
216	10967	39572
217	11010	39498
218	11059	39441
219	11125	39446
220	11189	39440
221	11244	39407
222	11289	39336
223	11339	39284
224	11386	39221
225	11435	39165
226	11487	39117
227	11533	39052
228	11579	38984
229	11637	38961
230	11699	38948
231	11754	38913
232	11809	38873
233	11854	38807
234	11902	38746
235	11951	38690
236	12005	38649
237	12053	38590
238	12098	38523
239	12147	38466
240	12196	38411
241	12241	38343
242	12292	38293
243	12336	38223
244	12392	38188
245	12442	38135
246	12495	38093
247	12544	38036
248	12587	37966
249	12635	37906
250	12681	37843
251	12733	37795
252	12785	37748
253	12837	37703
254	12893	37667
255	12954	37649
256	13008	37608
257	13063	37569
258	13109	37506
259	13156	37445
260	13204	37387
261	13246	37313
262	13291	37245
263	13338	37186
264	13387	37131
265	13435	37073
266	13484	37019
267	13533	36963
268	13584	36916
269	13636	36868
270	13699	36851
271	13760	36829
272	13807	36768
273	13853	36707
274	13902	36653
275	13956	36610
276	14009	36565
277	14059	36513
278	14108	36458
279	14152	36392
280	14203	36343
281	14246	36272
282	14293	36214
283	14342	36159
284	14389	36100
285	14439	36049
286	14496	36014
287	14551	35975
288	14612	35948
289	14666	35907
290	14716	35855
291	14762	35794
292	14814	35747
293	14870	35709
294	14915	35645
295	14965	35594
296	15018	35549
297	15073	35508
298	15131	35474
299	15182	35425
300	15233	35375
301	15284	35326
302	15334	35273
303	15382	35217
304	15430	35162
305	15478	35104
306	15523	35041
307	15573	34989
308	15616	34921
309	15671	34880
310	15736	34863
311	15794	34828
312	15844	34775
313	15891	34719
314	15942	34668
315	15991	34613
316	16034	34547
317	16089	34505
318	16141	34459
319	16195	34415
320	16243	34358
321	16288	34297
322	16344	34258
323	16408	34235
324	16469	34205
325	16525	34166
326	16576	34116
327	16622	34056
328	16675	34009
329	16725	33958
330	16769	33893
331	16814	33831
332	16863	33777
333	16919	33737
334	16967	33680
335	17024	33643
336	17079	33602
337	17133	33556
338	17185	33509
339	17236	33459
340	17283	33401
341	17339	33360
342	17406	33340
343	17470	33315
344	17520	33263
345	17567	33205
346	17617	33154
347	17662	33092
348	17710	33036
349	17761	32985
350	17807	32926
351	17870	32897
352	17930	32864
353	17986	32822
354	18031	32761
355	18084	32714
356	18131	32656
357	18176	32596
358	18220	32533
359	18274	32488
360	18325	32437
361	18370	32376
362	18413	32312
363	18465	32263
364	18516	32213
365	18560	32151
366	18613	32104
367	18657	32042
368	18711	31997
369	18776	31970
370	18831	31926
371	18882	31876
372	18936	31831
373	18985	31777
374	19034	31724
375	19084	31671
376	19135	31621
377	19178	31558
378	19227	31503
379	19275	31449
380	19325	31398
381	19379	31352
382	19430	31302
383	19482	31253
384	19533	31203
385	19582	31148
386	19634	31100
387	19683	31047
388	19728	30986
389	19774	30929
390	19825	30879
391	19878	30831
392	19921	30769
393	19972	30718
394	20018	30661
395	20062	30600
396	20116	30554
397	20182	30527
398	20244	30492
399	20299	30449
400	20351	30400
401	20394	30338
402	20448	30292
403	20496	30237
404	20547	30187
405	20596	30133
406	20645	30080
407	20692	30023
408	20736	29963
409	20785	29910
410	20841	29867
411	20908	29840
412	20964	29796
413	21019	29752
414	21065	29695
415	21117	29646
416	21166	29592
417	21216	29541
418	21266	29488
419	21313	29432
420	21356	29371
421	21401	29312
422	21451	29261
423	21499	29206
424	21550	29156
425	21605	29112
426	21663	29070
427	21724	29033
428	21768	28973
429	21814	28917
430	21858	28856
431	21908	28805
432	21958	28753
433	22003	28695
434	22053	28643
435	22097	28584
436	22145	28530
437	22206	28493
438	22269	28458
439	22319	28406
440	22362	28346
441	22406	28287
442	22453	28231
443	22498	28173
444	22550	28124
445	22602	28076
446	22650	28022
447	22696	27965
448	22746	27913
449	22792	27856
450	22841	27805
451	22893	27755
452	22947	27708
453	22996	27656
454	23046	27605
455	23093	27550
456	23146	27502
457	23188	27441
458	23231	27382
459	23289	27340
460	23343	27292
461	23407	27257
462	23470	27222
463	23537	27189
464	23594	27146
465	23652	27104
466	23704	27054
467	23753	27001
468	23803	26950
469	23854	26899
470	23903	26846
471	23951	26793
472	24006	26747
473	24072	26713
474	24129	26669
475	24177	26615
476	24220	26555
477	24271	26505
478	24321	26454
479	24370	26401
480	24412	26341
481	24460	26287
482	24507	26232
483	24558	26182
484	24604	26126
485	24660	26081
486	24723	26043
487	24776	25995
488	24822	25939
489	24870	25885
490	24917	25831
491	24966	25778
492	25018	25728
493	25065	25674
494	25113	25621
495	25162	25568
496	25210	25515
497	25257	25460
498	25306	25408
499	25360	25360
500	25405	25303
501	25452	25249
502	25495	25191
503	25547	25141
504	25594	25087
505	25646	25038
506	25707	24997
507	25763	24952
508	25816	24903
509	25862	24848
510	25905	24790
511	25960	24744
512	26007	24689
513	26051	24632
514	26095	24574
515	26140	24519
516	26186	24464
517	26232	24409
518	26275	24351
519	26330	24305
520	26393	24265
521	26455	24225
522	26505	24174
523	26558	24125
524	26609	24075
525	26664	24028
526	26717	23979
527	26766	23927
528	26809	23869
529	26863	23822
530	26913	23771
531	26957	23714
532	27021	23675
533	27076	23628
534	27128	23579
535	27175	23525
536	27224	23472
537	27273	23420
538	27323	23369
539	27370	23315
540	27419	23263
541	27474	23216
542	27516	23158
543	27560	23102
544	27608	23049
545	27656	22996
546	27703	22942
547	27755	22893
548	27807	22843
549	27860	22794
550	27910	22743
551	27953	22687
552	27999	22632
553	28049	22581
554	28100	22530
555	28150	22479
556	28193	22423
557	28244	22372
558	28298	22324
559	28341	22268
560	28391	22217
561	28435	22161
562	28488	22112
563	28537	22060
564	28580	22004
565	28630	21953
566	28675	21898
567	28726	21848
568	28772	21794
569	28824	21744
570	28871	21691
571	28918	21638
572	28963	21583
573	29012	21531
574	29062	21481
575	29104	21424
576	29153	21372
577	29203	21321
578	29250	21268
579	29303	21219
580	29351	21167
581	29401	21116
582	29450	21064
583	29502	21015
584	29557	20967
585	29601	20912
586	29648	20860
587	29701	20811
588	29747	20757
589	29790	20701
590	29844	20653
591	29897	20604
592	29946	20553
593	29990	20498
594	30037	20445
595	30089	20396
596	30139	20345
597	30185	20292
598	30230	20237
599	30276	20184
600	30326	20133
601	30375	20082
602	30424	20030
603	30468	19976
604	30512	19921
605	30563	19871
606	30610	19818
607	30666	19771
608	30727	19728
609	30796	19689
610	30852	19642
611	30920	19603
612	30977	19556
613	31019	19501
614	31069	19449
615	31116	19397
616	31165	19345
617	31210	19292
618	31263	19242
619	31307	19188
620	31351	19133
621	31404	19085
622	31457	19035
623	31502	18982
624	31550	18930
625	31600	18879
626	31643	18824
627	31690	18772
628	31736	18718
629	31780	18665
630	31826	18611
631	31878	18562
632	31931	18513
633	31985	18464
634	32043	18418
635	32100	18371
636	32154	18323
637	32198	18269
638	32247	18218
639	32294	18165
640	32337	18110
641	32390	18062
642	32441	18012
643	32492	17961
644	32544	17912
645	32591	17859
646	32635	17805
647	32678	17751
648	32725	17698
649	32776	17648
650	32821	17595
651	32871	17544
652	32921	17494
653	32963	17439
654	33014	17389
655	33063	17338
656	33114	17288
657	33162	17236
658	33206	17182
659	33252	17129
660	33301	17079
661	33346	17025
662	33393	16973
663	33443	16923
664	33495	16873
665	33539	16820
666	33594	16771
667	33645	16721
668	33697	16672
669	33746	16621
670	33799	16572
671	33844	16519
672	33891	16467
673	33941	16417
674	33996	16368
675	34058	16323
676	34111	16274
677	34164	16225
678	34216	16176
679	34268	16126
680	34317	16075
681	34362	16022
682	34415	15973
683	34466	15923
684	34513	15871
685	34561	15819
686	34623	15774
687	34684	15728
688	34743	15682
689	34799	15634
690	34850	15584
691	34905	15535
692	34955	15485
693	35006	15435
694	35063	15387
695	35115	15337
696	35170	15289
697	35219	15238
698	35267	15186
699	35323	15138
700	35377	15089
701	35431	15040
702	35482	14990
703	35537	14942
704	35594	14894
705	35656	14848
706	35714	14801
707	35768	14751
708	35823	14703
709	35877	14654
710	35924	14602
711	35977	14552
712	36029	14502
713	36084	14454
714	36137	14404
715	36197	14357
716	36252	14308
717	36298	14256
718	36355	14208
719	36409	14159
720	36467	14111
721	36518	14061
722	36570	14011
723	36621	13960
724	36675	13911
725	36729	13862
726	36786	13813
727	36843	13765
728	36892	13714
729	36948	13665
730	37013	13620
731	37075	13574
732	37135	13526
733	37199	13480
734	37250	13430
735	37300	13379
736	37359	13331
737	37410	13281
738	37468	13233
739	37531	13186
740	37587	13137
741	37636	13086
742	37696	13039
743	37749	12989
744	37801	12938
745	37856	12889
746	37914	12841
